,entity_id,sex,age_cat,race,priors_count,c_charge_degree,label_value
45,66,Male,25 - 45,Caucasian,9,M,1
46,67,Male,25 - 45,African-American,13,F,1
47,68,Male,Greater than 45,Caucasian,0,M,0
48,69,Male,25 - 45,African-American,4,M,1
49,70,Male,25 - 45,African-American,0,F,0
50,71,Male,25 - 45,Caucasian,1,F,1
51,72,Female,25 - 45,Other,0,F,0
52,75,Male,Greater than 45,Caucasian,20,F,1
53,77,Female,Greater than 45,Hispanic,1,F,0
54,79,Male,25 - 45,African-American,15,F,0
55,80,Male,Less than 25,African-American,2,F,1
56,83,Male,25 - 45,Hispanic,0,M,0
57,84,Male,Greater than 45,African-American,4,M,0
58,85,Male,Greater than 45,Caucasian,8,F,0
59,87,Male,25 - 45,African-American,5,F,0
60,88,Male,Greater than 45,African-American,10,M,1
61,90,Male,25 - 45,African-American,15,F,1
62,91,Male,25 - 45,Caucasian,4,M,1
63,93,Male,Less than 25,African-American,1,F,1
64,95,Male,Less than 25,African-American,2,F,1
65,96,Male,25 - 45,African-American,4,F,1
66,97,Male,Greater than 45,Hispanic,0,M,0
67,98,Male,25 - 45,African-American,6,F,1
68,99,Male,25 - 45,Other,0,M,0
69,100,Female,Greater than 45,African-American,0,M,0
70,101,Male,Greater than 45,Hispanic,6,F,1
71,102,Male,Less than 25,Hispanic,1,F,0
72,105,Male,25 - 45,African-American,1,M,0
73,107,Male,25 - 45,African-American,5,F,1
74,108,Male,25 - 45,Caucasian,1,F,1
75,111,Male,25 - 45,African-American,2,F,0
76,113,Male,Less than 25,African-American,1,M,1
77,114,Male,Less than 25,Caucasian,0,F,0
78,115,Female,25 - 45,African-American,1,F,1
79,116,Male,25 - 45,Caucasian,1,F,1
80,119,Male,25 - 45,African-American,0,F,0
81,120,Male,25 - 45,African-American,1,M,0
82,122,Male,25 - 45,African-American,8,M,1
83,127,Male,Greater than 45,Other,0,F,1
84,128,Male,25 - 45,African-American,14,F,1
85,130,Male,Less than 25,Other,0,F,1
86,131,Male,Less than 25,African-American,2,F,1
87,132,Male,Less than 25,African-American,2,M,1
88,136,Female,25 - 45,African-American,1,M,0
89,137,Male,25 - 45,African-American,9,F,1
90,138,Male,25 - 45,Caucasian,7,F,1
91,139,Male,Less than 25,Other,1,F,1
92,142,Male,25 - 45,Caucasian,9,F,1
93,143,Male,Greater than 45,African-American,12,M,0
94,145,Female,Less than 25,Caucasian,0,F,0
95,146,Male,25 - 45,Caucasian,2,F,1
96,147,Male,Greater than 45,Caucasian,3,F,0
97,148,Female,Greater than 45,Caucasian,0,M,0
98,150,Female,25 - 45,Hispanic,0,M,0
99,151,Male,Less than 25,African-American,1,M,1
100,152,Male,Less than 25,African-American,1,F,0
101,153,Male,25 - 45,African-American,1,F,0
102,154,Female,25 - 45,Caucasian,0,F,1
103,156,Male,Less than 25,Caucasian,8,F,1
104,157,Male,25 - 45,Caucasian,0,F,0
105,158,Male,25 - 45,Caucasian,0,M,0
106,159,Female,25 - 45,Caucasian,1,F,0
107,160,Male,Greater than 45,African-American,14,F,1
108,163,Male,25 - 45,Caucasian,1,F,0
109,166,Male,Less than 25,African-American,3,F,1
110,169,Male,25 - 45,Caucasian,5,M,1
111,171,Male,25 - 45,Caucasian,0,F,0
112,173,Male,25 - 45,African-American,5,F,1
113,174,Male,25 - 45,African-American,3,F,0
114,175,Male,25 - 45,Caucasian,1,F,1
115,176,Male,25 - 45,African-American,10,F,1
116,177,Male,Less than 25,African-American,0,F,1
117,178,Male,25 - 45,African-American,28,F,1
118,180,Male,25 - 45,African-American,1,M,0
119,182,Female,25 - 45,Other,1,F,0
120,183,Male,25 - 45,Caucasian,13,F,1
121,184,Male,25 - 45,African-American,3,F,1
122,187,Male,Greater than 45,African-American,8,F,0
123,189,Male,Greater than 45,Caucasian,3,M,0
124,190,Male,25 - 45,African-American,19,F,1
125,192,Female,Greater than 45,Caucasian,2,M,0
126,193,Male,Less than 25,Caucasian,4,F,1
127,194,Male,25 - 45,Caucasian,6,F,0
128,195,Female,25 - 45,Caucasian,2,F,0
129,197,Male,25 - 45,Caucasian,1,M,0
130,199,Male,25 - 45,Caucasian,2,F,0
131,200,Female,25 - 45,Other,2,M,0
132,202,Male,25 - 45,Caucasian,0,M,1
133,203,Female,Less than 25,African-American,0,M,0
134,206,Female,25 - 45,Caucasian,10,F,1
135,208,Male,25 - 45,Caucasian,2,M,1
136,209,Female,25 - 45,Hispanic,4,F,1
137,210,Male,25 - 45,African-American,3,F,1
138,213,Male,25 - 45,Caucasian,2,M,1
139,215,Male,25 - 45,African-American,1,M,0
140,216,Male,Greater than 45,Caucasian,1,F,1
141,218,Female,Greater than 45,Caucasian,4,F,0
142,220,Female,Less than 25,African-American,1,F,0
143,222,Female,25 - 45,Caucasian,0,M,0
144,223,Male,25 - 45,African-American,9,F,1
145,224,Male,25 - 45,African-American,11,F,1
146,225,Male,25 - 45,African-American,8,M,1
147,227,Female,25 - 45,African-American,0,F,1
148,228,Female,25 - 45,African-American,7,F,1
149,229,Male,25 - 45,African-American,2,F,1
150,231,Female,Less than 25,African-American,0,F,0
151,232,Female,25 - 45,Caucasian,0,M,0
152,234,Female,Greater than 45,African-American,1,F,1
153,235,Male,Greater than 45,Other,13,F,1
154,236,Male,Greater than 45,Hispanic,1,F,0
155,238,Female,25 - 45,African-American,4,F,1
156,239,Male,25 - 45,Hispanic,1,F,0
157,240,Female,Greater than 45,Other,1,F,0
158,241,Female,25 - 45,African-American,2,M,1
159,242,Male,Greater than 45,African-American,3,M,0
160,243,Male,25 - 45,Caucasian,1,M,0
161,244,Female,25 - 45,Caucasian,3,F,1
162,245,Male,25 - 45,African-American,1,F,0
163,246,Male,Greater than 45,Caucasian,2,M,0
164,248,Male,Less than 25,African-American,1,F,0
165,249,Male,Greater than 45,Caucasian,6,F,1
166,251,Female,Greater than 45,Caucasian,6,F,0
167,252,Male,25 - 45,Caucasian,0,F,0
168,254,Male,25 - 45,African-American,1,M,1
169,257,Male,Less than 25,Hispanic,0,F,0
170,258,Female,25 - 45,African-American,5,F,0
171,259,Male,Greater than 45,Hispanic,2,M,0
172,260,Male,Greater than 45,African-American,8,F,0
173,262,Female,25 - 45,Caucasian,6,F,0
174,263,Male,Greater than 45,Caucasian,1,F,0
175,264,Male,25 - 45,Hispanic,8,F,1
176,265,Male,25 - 45,African-American,6,M,1
177,266,Male,Greater than 45,Hispanic,2,F,0
178,267,Male,Greater than 45,Hispanic,0,F,0
179,268,Male,Greater than 45,Caucasian,1,M,1
180,269,Male,Greater than 45,Caucasian,0,F,0
181,271,Male,Less than 25,Other,0,F,0
182,272,Male,25 - 45,African-American,22,F,1
183,275,Male,Less than 25,African-American,1,F,1
184,277,Male,Greater than 45,African-American,23,M,1
185,278,Male,Less than 25,African-American,0,M,1
186,279,Male,Greater than 45,Hispanic,1,F,0
187,280,Female,25 - 45,Caucasian,2,F,1
188,281,Male,Greater than 45,African-American,3,F,0
189,282,Male,Greater than 45,Caucasian,8,M,1
190,285,Female,Greater than 45,Other,0,M,1
191,286,Male,25 - 45,African-American,13,F,1
192,287,Male,25 - 45,African-American,2,M,1
193,288,Male,25 - 45,Caucasian,0,F,1
194,289,Male,25 - 45,African-American,9,F,1
195,291,Male,Greater than 45,Caucasian,2,F,0
196,293,Male,Less than 25,African-American,0,F,1
197,294,Male,25 - 45,African-American,2,M,0
198,297,Female,Less than 25,African-American,1,M,0
199,298,Male,25 - 45,Other,2,M,1
200,299,Male,Greater than 45,Caucasian,1,F,0
201,300,Female,25 - 45,Caucasian,0,M,0
202,301,Male,25 - 45,Caucasian,4,M,0
203,302,Female,25 - 45,African-American,23,F,1
204,304,Male,Less than 25,Other,5,F,1
205,306,Male,25 - 45,African-American,2,F,1
206,308,Male,25 - 45,African-American,0,M,0
207,310,Female,25 - 45,African-American,0,F,0
208,311,Male,25 - 45,Caucasian,11,F,1
209,313,Female,25 - 45,Caucasian,7,F,1
210,315,Male,25 - 45,African-American,2,F,0
211,316,Male,25 - 45,Caucasian,2,M,0
212,317,Female,25 - 45,African-American,1,F,0
213,319,Male,Greater than 45,Caucasian,7,F,1
214,320,Male,25 - 45,African-American,15,F,0
215,321,Male,25 - 45,African-American,2,M,0
216,322,Male,Greater than 45,African-American,3,F,0
217,323,Male,25 - 45,Hispanic,0,M,0
218,325,Male,Greater than 45,Caucasian,1,F,0
219,326,Female,Greater than 45,Caucasian,0,M,1
220,327,Male,Greater than 45,Caucasian,0,M,0
221,329,Male,25 - 45,Other,1,M,1
222,330,Male,Greater than 45,African-American,0,F,0
223,331,Male,25 - 45,Caucasian,4,F,1
224,332,Female,25 - 45,African-American,2,F,0
225,333,Female,25 - 45,African-American,5,M,0
226,334,Male,25 - 45,African-American,11,F,1
227,335,Male,25 - 45,African-American,0,M,0
228,336,Male,25 - 45,Other,4,F,1
229,337,Male,Greater than 45,African-American,11,F,0
230,338,Male,Less than 25,African-American,2,F,0
231,341,Female,25 - 45,African-American,2,F,1
232,344,Male,25 - 45,African-American,0,M,0
233,345,Male,Greater than 45,Caucasian,0,F,0
234,347,Male,25 - 45,Caucasian,13,F,1
235,348,Male,Greater than 45,African-American,0,F,0
236,349,Male,25 - 45,Caucasian,1,F,0
237,350,Male,25 - 45,African-American,11,M,1
238,351,Male,25 - 45,Caucasian,1,F,0
239,354,Male,Less than 25,African-American,0,F,0
240,355,Male,25 - 45,African-American,4,F,0
241,356,Male,25 - 45,Hispanic,4,F,0
242,357,Male,25 - 45,Caucasian,0,F,1
243,358,Male,25 - 45,Caucasian,0,F,1
244,359,Male,25 - 45,African-American,14,F,0
245,360,Male,25 - 45,African-American,4,M,0
246,361,Male,Greater than 45,Caucasian,1,M,0
247,362,Male,25 - 45,African-American,25,F,1
248,363,Male,25 - 45,Caucasian,8,M,1
249,364,Male,25 - 45,African-American,0,F,0
250,366,Male,Less than 25,Caucasian,1,M,1
251,369,Female,25 - 45,Other,0,M,0
252,372,Female,25 - 45,Other,3,F,0
253,374,Male,25 - 45,Caucasian,8,F,1
254,375,Male,25 - 45,Caucasian,4,F,0
255,376,Male,Less than 25,African-American,3,M,1
256,377,Female,Less than 25,Caucasian,1,M,1
257,378,Male,25 - 45,African-American,3,M,1
258,379,Female,25 - 45,Hispanic,0,M,0
259,381,Male,Less than 25,Hispanic,1,F,1
260,382,Female,Less than 25,Caucasian,5,F,1
261,383,Male,Less than 25,Hispanic,0,M,0
262,384,Male,25 - 45,African-American,1,M,0
263,385,Male,Less than 25,African-American,1,F,1
264,386,Male,25 - 45,African-American,2,F,1
265,389,Male,25 - 45,Other,0,F,0
266,390,Male,25 - 45,African-American,4,F,0
267,392,Male,25 - 45,Caucasian,2,M,0
268,393,Female,25 - 45,African-American,2,F,0
269,396,Male,Less than 25,African-American,0,F,0
270,398,Male,Less than 25,Hispanic,0,F,0
271,399,Female,Greater than 45,African-American,0,F,0
272,400,Female,Less than 25,African-American,0,F,1
273,402,Female,Greater than 45,African-American,0,F,0
274,403,Male,Greater than 45,African-American,8,F,1
275,404,Male,25 - 45,Caucasian,0,F,0
276,405,Male,25 - 45,Caucasian,0,F,1
277,406,Male,25 - 45,African-American,11,F,1
278,407,Male,Less than 25,African-American,3,M,1
279,408,Female,Less than 25,Caucasian,1,F,0
280,409,Male,25 - 45,African-American,2,F,0
281,410,Male,25 - 45,Caucasian,2,F,0
282,411,Female,25 - 45,African-American,2,M,0
283,414,Female,25 - 45,Other,0,F,0
284,415,Male,25 - 45,African-American,24,M,0
285,416,Male,Greater than 45,African-American,3,F,1
286,417,Male,25 - 45,African-American,0,F,0
287,423,Male,25 - 45,Caucasian,3,F,0
288,424,Male,25 - 45,African-American,3,M,1
289,425,Male,Greater than 45,Caucasian,1,M,0
290,426,Male,Greater than 45,Caucasian,6,F,1
291,428,Male,Greater than 45,Caucasian,3,F,0
292,429,Male,Less than 25,African-American,0,M,1
293,430,Male,25 - 45,African-American,1,M,1
294,431,Male,25 - 45,Hispanic,3,F,1
295,432,Male,25 - 45,Caucasian,5,M,0
296,434,Male,Less than 25,African-American,1,F,1
297,435,Male,25 - 45,African-American,5,M,0
298,437,Male,Less than 25,Caucasian,0,F,1
299,438,Male,25 - 45,African-American,5,F,1
300,439,Male,25 - 45,African-American,2,F,0
301,440,Male,25 - 45,African-American,6,F,1
302,441,Male,Less than 25,Other,0,F,0
303,442,Male,25 - 45,Caucasian,1,M,1
304,445,Male,Greater than 45,Caucasian,2,F,0
305,446,Female,Less than 25,African-American,0,M,0
306,450,Male,Less than 25,African-American,1,F,0
307,451,Male,Less than 25,African-American,4,M,1
308,452,Male,Greater than 45,Caucasian,0,F,0
309,454,Male,25 - 45,African-American,4,M,1
310,456,Male,25 - 45,Caucasian,5,F,0
311,457,Male,25 - 45,Other,2,F,1
312,459,Female,25 - 45,African-American,5,F,0
313,461,Male,Less than 25,Hispanic,0,F,0
314,462,Male,25 - 45,African-American,0,M,0
315,463,Male,25 - 45,Caucasian,0,M,1
316,464,Male,25 - 45,Caucasian,3,M,1
317,465,Female,25 - 45,Caucasian,0,F,0
318,467,Male,Less than 25,Other,9,F,1
319,468,Male,25 - 45,African-American,0,F,0
320,469,Male,Less than 25,African-American,0,F,1
321,474,Female,Greater than 45,Caucasian,0,M,0
322,475,Male,Greater than 45,Caucasian,0,M,0
323,478,Male,25 - 45,African-American,7,F,0
324,480,Male,Less than 25,African-American,0,F,1
325,481,Male,Greater than 45,Caucasian,6,F,0
326,484,Male,25 - 45,Caucasian,8,F,0
327,485,Male,Less than 25,African-American,2,F,1
328,487,Male,Greater than 45,Caucasian,36,F,1
329,489,Male,25 - 45,Caucasian,2,M,1
330,493,Male,Greater than 45,African-American,1,F,0
331,494,Male,Less than 25,Hispanic,3,F,0
332,495,Female,25 - 45,African-American,0,F,0
333,496,Female,25 - 45,Caucasian,2,M,1
334,497,Female,Less than 25,Hispanic,1,M,0
335,499,Male,25 - 45,Caucasian,1,F,0
336,500,Female,Less than 25,African-American,0,F,1
337,501,Male,25 - 45,Caucasian,0,M,0
338,502,Male,Less than 25,African-American,0,F,0
339,503,Male,25 - 45,African-American,3,F,1
340,504,Male,25 - 45,Other,1,F,1
341,505,Male,25 - 45,African-American,0,F,0
342,509,Female,25 - 45,Caucasian,0,M,0
343,510,Male,Greater than 45,Hispanic,1,M,0
344,511,Male,25 - 45,Other,3,F,0
345,512,Female,25 - 45,African-American,2,F,0
346,516,Male,25 - 45,African-American,12,F,1
347,517,Male,Less than 25,African-American,1,F,0
348,518,Male,Greater than 45,African-American,3,F,0
349,521,Female,25 - 45,Hispanic,1,F,1
350,522,Male,25 - 45,Caucasian,0,F,0
351,523,Male,Less than 25,African-American,2,F,1
352,524,Male,25 - 45,Hispanic,0,M,0
353,525,Male,25 - 45,Other,0,M,0
354,526,Female,Less than 25,Caucasian,0,F,0
355,527,Male,Greater than 45,Caucasian,0,M,0
356,530,Male,Less than 25,Caucasian,2,F,0
357,531,Male,25 - 45,African-American,6,M,1
358,532,Male,Less than 25,Caucasian,0,F,0
359,533,Female,Less than 25,African-American,0,F,1
360,537,Male,Greater than 45,African-American,3,F,0
361,538,Male,25 - 45,African-American,2,M,0
362,540,Female,Greater than 45,Caucasian,0,M,0
363,541,Female,25 - 45,African-American,0,M,0
364,542,Male,Less than 25,African-American,3,F,1
365,543,Male,25 - 45,Hispanic,2,M,1
366,545,Female,Less than 25,Other,1,F,0
367,546,Male,25 - 45,Hispanic,1,F,0
368,547,Male,25 - 45,Caucasian,0,F,0
369,548,Male,Less than 25,African-American,1,F,0
370,552,Male,Less than 25,Caucasian,2,M,1
371,553,Male,Greater than 45,African-American,18,F,0
372,557,Male,Less than 25,African-American,4,F,1
373,558,Male,Less than 25,African-American,0,F,1
374,561,Male,25 - 45,Caucasian,1,M,0
375,563,Female,Greater than 45,Caucasian,1,M,1
376,565,Male,25 - 45,Caucasian,0,F,1
377,566,Male,25 - 45,African-American,7,F,1
378,567,Female,Greater than 45,Caucasian,1,M,0
379,569,Female,Less than 25,African-American,0,F,0
380,572,Male,25 - 45,African-American,1,F,0
381,573,Male,25 - 45,African-American,1,M,0
382,574,Male,Less than 25,Caucasian,1,M,0
383,576,Male,25 - 45,African-American,6,F,1
384,579,Male,Less than 25,African-American,4,F,1
385,580,Male,Less than 25,Caucasian,3,M,0
386,581,Male,25 - 45,African-American,23,F,1
387,584,Male,25 - 45,African-American,2,F,0
388,586,Male,Greater than 45,African-American,2,F,0
389,587,Male,Greater than 45,African-American,1,F,0
390,588,Male,25 - 45,African-American,7,F,0
391,590,Male,Greater than 45,Caucasian,23,F,1
392,594,Female,Greater than 45,Caucasian,0,M,0
393,597,Male,25 - 45,African-American,12,F,1
394,598,Male,25 - 45,African-American,5,F,0
395,599,Male,25 - 45,Caucasian,3,M,0
396,600,Female,25 - 45,Hispanic,0,F,0
397,601,Male,Greater than 45,Caucasian,5,F,1
398,602,Male,25 - 45,African-American,14,F,1
399,603,Male,25 - 45,African-American,2,F,0
400,604,Male,Less than 25,African-American,0,M,1
401,605,Male,25 - 45,African-American,6,F,0
402,608,Male,25 - 45,Caucasian,0,F,0
403,609,Male,Greater than 45,Caucasian,2,F,0
404,611,Male,Greater than 45,African-American,5,F,0
405,612,Male,25 - 45,African-American,9,F,1
406,613,Male,Greater than 45,Caucasian,4,F,1
407,616,Male,25 - 45,African-American,3,F,0
408,617,Male,Greater than 45,Other,4,F,0
409,621,Male,Less than 25,Hispanic,1,M,0
410,622,Female,25 - 45,Caucasian,0,M,0
411,623,Male,Greater than 45,Caucasian,0,M,0
412,624,Female,Less than 25,African-American,0,F,0
413,625,Female,25 - 45,African-American,1,F,1
414,627,Male,Greater than 45,African-American,11,F,0
415,628,Male,25 - 45,Caucasian,0,M,1
416,629,Male,Less than 25,Hispanic,0,M,0
417,630,Male,Less than 25,Caucasian,0,F,0
418,633,Female,Greater than 45,Caucasian,2,M,0
419,635,Male,25 - 45,African-American,7,M,1
420,637,Male,Less than 25,Caucasian,1,F,1
421,638,Male,25 - 45,African-American,8,F,1
422,639,Male,25 - 45,Other,1,F,0
423,640,Male,Less than 25,African-American,0,F,1
424,641,Male,25 - 45,Caucasian,0,M,1
425,643,Male,25 - 45,African-American,8,F,0
426,644,Male,Greater than 45,African-American,21,M,1
427,645,Male,Less than 25,African-American,3,F,0
428,646,Male,Greater than 45,Hispanic,1,M,1
429,647,Male,25 - 45,Caucasian,0,F,0
430,648,Male,Greater than 45,African-American,1,F,1
431,649,Male,25 - 45,Caucasian,3,M,0
432,651,Male,25 - 45,African-American,3,F,0
433,653,Male,Less than 25,Caucasian,3,F,1
434,654,Male,25 - 45,Caucasian,0,F,0
435,656,Male,25 - 45,African-American,2,F,0
436,657,Female,Less than 25,African-American,3,F,1
437,659,Male,Less than 25,Caucasian,1,F,1
438,660,Male,25 - 45,Caucasian,2,M,0
439,662,Female,Less than 25,Caucasian,0,F,0
440,664,Male,25 - 45,Caucasian,0,M,0
441,668,Male,25 - 45,Hispanic,2,F,1
442,669,Male,Less than 25,African-American,1,F,1
443,673,Male,25 - 45,Hispanic,2,M,1
444,674,Male,Less than 25,African-American,1,M,1
445,675,Male,Greater than 45,Caucasian,4,F,0
446,678,Female,Greater than 45,African-American,3,F,0
447,679,Male,25 - 45,African-American,1,M,0
448,680,Male,25 - 45,African-American,5,F,0
449,681,Male,Less than 25,Caucasian,0,M,0
450,684,Male,Greater than 45,African-American,16,F,0
451,685,Female,Greater than 45,African-American,2,F,1
452,686,Male,25 - 45,Caucasian,0,M,1
453,687,Male,Less than 25,Other,0,F,1
454,688,Male,25 - 45,African-American,13,M,1
455,689,Female,Greater than 45,African-American,16,F,0
456,691,Male,25 - 45,African-American,1,M,1
457,692,Male,25 - 45,African-American,3,F,1
458,693,Male,Greater than 45,Caucasian,6,F,1
459,694,Male,25 - 45,Caucasian,1,F,1
460,696,Female,25 - 45,Native American,4,F,1
461,697,Male,Greater than 45,African-American,5,F,1
462,700,Male,25 - 45,African-American,10,F,1
463,701,Male,25 - 45,African-American,5,F,0
464,703,Male,Greater than 45,Caucasian,2,F,0
465,704,Male,25 - 45,African-American,0,F,0
466,707,Male,Less than 25,African-American,6,F,0
467,708,Male,Greater than 45,African-American,28,F,1
468,709,Male,25 - 45,African-American,8,F,1
469,711,Female,Less than 25,African-American,6,F,1
470,712,Male,Greater than 45,African-American,2,M,0
471,713,Male,Greater than 45,African-American,12,M,1
472,715,Male,Less than 25,Caucasian,1,M,1
473,716,Male,25 - 45,African-American,1,M,0
474,718,Male,Less than 25,African-American,1,F,1
475,720,Male,Greater than 45,Caucasian,0,F,0
476,721,Male,Less than 25,Hispanic,0,F,0
477,722,Male,25 - 45,Caucasian,3,F,0
478,724,Male,Greater than 45,Caucasian,3,F,0
479,726,Male,25 - 45,Caucasian,4,F,1
480,727,Male,Greater than 45,Caucasian,0,F,0
481,728,Male,25 - 45,Hispanic,4,F,1
482,729,Male,Greater than 45,Caucasian,1,F,1
483,730,Male,25 - 45,Asian,0,F,0
484,731,Male,Greater than 45,Hispanic,1,F,0
485,732,Male,25 - 45,Hispanic,2,M,0
486,737,Female,Less than 25,Caucasian,6,F,1
487,738,Male,Less than 25,Caucasian,2,M,1
488,739,Male,25 - 45,African-American,2,M,0
489,740,Male,Greater than 45,Asian,5,F,1
490,743,Male,25 - 45,African-American,1,F,0
491,745,Female,25 - 45,Caucasian,0,M,0
492,750,Male,25 - 45,Caucasian,6,F,1
493,752,Male,25 - 45,Caucasian,0,M,1
494,753,Male,Greater than 45,African-American,0,M,0
495,754,Male,25 - 45,African-American,4,F,1
496,756,Female,Greater than 45,Caucasian,0,M,0
497,757,Male,25 - 45,African-American,0,F,0
498,758,Female,Less than 25,Hispanic,2,F,1
499,760,Male,25 - 45,African-American,4,F,1
500,762,Male,25 - 45,Caucasian,1,M,1
501,763,Male,25 - 45,Hispanic,7,F,1
502,764,Male,Greater than 45,Hispanic,20,F,0
503,765,Male,Greater than 45,African-American,33,F,1
504,769,Male,25 - 45,Caucasian,2,F,0
505,770,Male,Greater than 45,Caucasian,1,M,0
506,771,Male,25 - 45,Caucasian,1,F,0
507,774,Male,25 - 45,African-American,1,F,0
508,775,Male,Greater than 45,Caucasian,4,M,0
509,779,Female,25 - 45,African-American,12,M,0
510,781,Male,Greater than 45,Other,12,F,0
511,785,Female,25 - 45,African-American,0,M,0
512,786,Female,Greater than 45,Caucasian,0,M,0
513,787,Male,25 - 45,Hispanic,7,M,0
514,788,Male,25 - 45,Other,2,M,0
515,789,Male,25 - 45,African-American,2,M,0
516,790,Female,25 - 45,African-American,6,F,0
517,792,Male,25 - 45,Other,0,M,0
518,793,Male,Greater than 45,African-American,10,F,1
519,794,Male,25 - 45,African-American,5,F,1
520,796,Male,Less than 25,Caucasian,0,F,0
521,798,Male,Greater than 45,Caucasian,1,F,1
522,800,Male,Greater than 45,African-American,0,M,1
523,803,Male,Greater than 45,African-American,4,M,0
524,804,Male,Less than 25,African-American,0,F,1
525,805,Male,25 - 45,Caucasian,4,F,1
526,806,Male,Less than 25,Caucasian,0,F,0
527,807,Male,Less than 25,Caucasian,0,M,0
528,808,Male,25 - 45,Caucasian,6,F,0
529,810,Male,25 - 45,African-American,1,M,1
530,812,Male,25 - 45,African-American,0,F,0
531,813,Male,25 - 45,African-American,6,F,1
532,814,Male,25 - 45,Caucasian,1,F,1
533,815,Male,Less than 25,Caucasian,0,F,1
534,817,Male,25 - 45,Other,1,F,0
535,818,Male,25 - 45,Caucasian,0,F,0
536,820,Male,25 - 45,Hispanic,20,F,0
537,821,Male,25 - 45,African-American,0,F,0
538,823,Male,25 - 45,African-American,14,F,1
539,825,Male,Less than 25,Caucasian,9,M,1
540,829,Male,Less than 25,Caucasian,6,F,1
541,830,Male,Less than 25,Hispanic,0,F,1
542,831,Male,Greater than 45,Caucasian,1,M,0
543,835,Male,25 - 45,African-American,5,F,1
544,836,Male,25 - 45,Hispanic,2,M,1
545,837,Male,Greater than 45,Caucasian,2,F,1
546,838,Male,25 - 45,African-American,1,M,0
547,840,Male,25 - 45,African-American,0,F,0
548,841,Male,Less than 25,Caucasian,2,F,0
549,842,Female,Greater than 45,Hispanic,1,F,0
550,843,Male,25 - 45,African-American,8,F,0
551,844,Male,Greater than 45,African-American,6,F,0
552,847,Male,25 - 45,African-American,3,F,0
553,848,Female,Greater than 45,Other,0,F,0
554,849,Male,25 - 45,African-American,3,F,1
555,850,Male,Less than 25,African-American,3,F,1
556,851,Male,Greater than 45,Caucasian,1,M,0
557,852,Male,Less than 25,African-American,3,F,1
558,853,Male,Greater than 45,African-American,3,M,0
559,855,Male,25 - 45,African-American,0,F,0
560,856,Male,25 - 45,Caucasian,1,F,0
561,857,Male,25 - 45,African-American,16,F,1
562,858,Female,25 - 45,African-American,0,M,0
563,859,Male,Less than 25,African-American,1,F,0
564,861,Male,25 - 45,Caucasian,2,F,1
565,863,Male,25 - 45,Caucasian,5,F,0
566,864,Male,Less than 25,Hispanic,8,F,0
567,867,Male,25 - 45,African-American,5,M,1
568,869,Male,25 - 45,Caucasian,11,M,0
569,870,Female,25 - 45,African-American,6,F,1
570,871,Male,25 - 45,Caucasian,0,M,0
571,872,Male,25 - 45,African-American,15,F,0
572,874,Male,25 - 45,Hispanic,4,F,0
573,875,Female,25 - 45,African-American,0,M,0
574,879,Male,Less than 25,Caucasian,1,F,0
575,880,Male,Greater than 45,Hispanic,1,F,0
576,881,Female,Greater than 45,Caucasian,2,M,1
577,882,Male,Greater than 45,Caucasian,5,F,1
